label,n_features,best_iteration,val_ndcg5,runtime_s,rss_gb,delta_vs_baseline
A_raw_baseline,53,407,0.3952377467007063,68.28802919387817,1.443725312,0.0
B_within_search,57,258,0.39884051181085206,44.287975788116455,3.455533056,0.0036027651101457336
C_prop_priors,61,263,0.4011053172822578,43.86792182922363,5.143691264,0.005867570581551462
D_dest_priors,65,378,0.4024974899531898,66.48689103126526,6.21879296,0.007259743252483464
E_prop_dest_priors,69,317,0.4025760033733217,61.40989279747009,1.287077888,0.007338256672615395
