id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-17,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.0,-0.25,0.75,6.25,7.730589472104807,2.0
AS14.01,2014-02-18,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,-0.25,0.75,6.25,7.730589472104807,2.0
AS14.01,2014-02-19,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,7.0,-0.25,0.75,6.25,7.730589472104807,2.0
AS14.01,2014-02-20,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.0,-0.25,0.75,6.25,7.730589472104807,3.0
AS14.01,2014-02-21,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.0,-0.25,0.75,6.25,7.730589472104807,1.0
AS14.01,2014-02-22,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.0,-0.25,0.75,6.25,7.730589472104807,1.0
AS14.01,2014-02-23,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.3333333333333335,-0.25,0.75,6.25,7.730589472104807,1.25
AS14.01,2014-02-24,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.6666666666666665,-0.25,0.75,6.25,7.730589472104807,1.5
AS14.01,2014-02-25,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,3.0,-0.25,0.75,6.25,7.730589472104807,1.75
AS14.01,2014-02-26,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,-0.25,0.75,6.25,7.730589472104807,2.0
AS14.01,2014-02-27,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.5,0.0,0.3333333333333333,6.333333333333333,7.730589472104807,1.6666666666666667
AS14.01,2014-02-28,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,4.0,0.009090909090909092,0.32727272727272727,6.327272727272727,7.730589472104807,1.3333333333333335
AS14.01,2014-03-01,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,3.0,0.018181818181818184,0.32121212121212117,6.321212121212121,7.730589472104807,1.0
AS14.01,2014-03-02,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.0,0.027272727272727275,0.3151515151515151,6.3151515151515145,7.730589472104807,1.0
AS14.01,2014-03-03,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,0.03636363636363637,0.3090909090909091,6.309090909090909,7.730589472104807,1.0
AS14.01,2014-03-04,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,0.04545454545454546,0.30303030303030304,6.303030303030303,7.730589472104807,1.0
AS14.01,2014-03-05,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,0.05454545454545455,0.29696969696969694,6.296969696969697,7.730589472104807,1.0
AS14.01,2014-03-06,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,0.06363636363636364,0.2909090909090909,6.290909090909091,7.730589472104807,1.0
AS14.01,2014-03-07,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,5.0,0.07272727272727274,0.28484848484848485,6.284848484848485,7.730589472104807,1.0
AS14.01,2014-03-08,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,3.666666666666667,0.08181818181818183,0.2787878787878788,6.278787878787878,7.730589472104807,1.0
AS14.01,2014-03-09,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.3333333333333335,0.09090909090909093,0.2727272727272727,6.2727272727272725,7.730589472104807,1.0
AS14.01,2014-03-10,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,0.10000000000000002,0.26666666666666666,6.266666666666667,7.730589472104807,1.0
AS14.01,2014-03-11,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,3.0,0.1090909090909091,0.2606060606060606,6.260606060606061,7.730589472104807,1.0
AS14.01,2014-03-12,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,7.0,0.1181818181818182,0.2545454545454546,6.254545454545455,7.730589472104807,1.0
AS14.01,2014-03-13,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,4.0,0.1272727272727273,0.2484848484848485,6.248484848484848,7.730589472104807,1.0
AS14.01,2014-03-14,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,3.0,0.13636363636363638,0.24242424242424243,6.242424242424242,7.730589472104807,1.0
AS14.01,2014-03-15,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.5,0.14545454545454548,0.2363636363636364,6.236363636363636,7.730589472104807,1.0
AS14.01,2014-03-16,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,2.0,0.15454545454545457,0.23030303030303031,6.2303030303030305,7.730589472104807,3.0
AS14.01,2014-03-17,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.5,0.16363636363636366,0.22424242424242424,6.224242424242425,7.730589472104807,1.0
AS14.01,2014-03-18,0.08154761904761905,5.5213769143340485,7.682127083861499,5.863222000988492,2.513251122797143,6.695466352494322,1.0,0.17272727272727276,0.2181818181818182,6.218181818181819,7.730589472104807,2.0
